Entity Name,Reporting Company,Payment Type,Start Date,End Date,Federal Government,Tribal Governments,State,Value (USD),Notes,
City of Broomfield,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,740000,City & County of Broomfield,
Garfield County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,28100000,"Garfield County Treasurer, Garfield County Clerk & Recorder, Garfield County Landfill",
Mesa County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,790000,Mesa County Treasurer,
Rio Blanco County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,2000000,Rio Blanco County Treasurer,
State of Colorado,Encana Corporation,Fees,01-01-2016,12-31-2016,N,,Colorado,770000,"Colorado Department of Revenue, Colorado Department of Public Health & Environment, Colorado Oil & Gas Conservation Commission, Colorado River Water Conservation District, Colorado State Board of Land Commissioners, State Department of Highways, State of Colorado Department Natural Resources, UTE Water Conservancy District, Clerk of the Combined Court Garnishment, Colorado Department of Transportation, Colorado Division of Reclamation, Mining and Safety.",
State of Colorado,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Colorado,3590000,"Colorado Department of Revenue, Colorado Department of Public Health & Environment, Colorado Oil & Gas Conservation Commission, Colorado River Water Conservation District, Colorado State Board of Land Commissioners, State Department of Highways, State of Colorado Department Natural Resources, UTE Water Conservancy District, Clerk of the Combined Court Garnishment, Colorado Department of Transportation, Colorado Division of Reclamation, Mining and Safety.",
State of Colorado,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,5710000,"Colorado Department of Revenue, Colorado Department of Public Health & Environment, Colorado Oil & Gas Conservation Commission, Colorado River Water Conservation District, Colorado State Board of Land Commissioners, State Department of Highways, State of Colorado Department Natural Resources, UTE Water Conservancy District, Clerk of the Combined Court Garnishment, Colorado Department of Transportation, Colorado Division of Reclamation, Mining and Safety.",
Town of Firestone,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Colorado,190000,NA,
Weld County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,45000000,"Weld County Treasurer, Weld County Clerk & Recorder",
U.S. Federal Government,Encana Corporation,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,1560000,"Bureau of Indian Affairs, Bureau of Land Management, Office of Surface Mining, Internal Revenue Service US Treasury, Office of Mineral Resources, Office of Natural Resources, Office of Surface Mining Reclamation and Enforcement, U.S. Department of Transportation",
U.S. Federal Government,Encana Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,1840000,"Bureau of Indian Affairs, Bureau of Land Management, Office of Surface Mining, Internal Revenue Service US Treasury, Office of Mineral Resources, Office of Natural Resources, Office of Surface Mining Reclamation and Enforcement, U.S. Department of Transportation",
U.S. Federal Government,Encana Corporation,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,20800000,"Bureau of Indian Affairs, Bureau of Land Management, Office of Surface Mining, Internal Revenue Service US Treasury, Office of Mineral Resources, Office of Natural Resources, Office of Surface Mining Reclamation and Enforcement, U.S. Department of Transportation",
St Helena Parish,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Louisiana,240000,Parish of St. Helena Tax Collector,
State of Louisiana,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Lousiana,1060000,Louisiana Department of Revenue,
State of Michigan,Encana Corporation,Fees,01-01-2016,12-31-2016,N,,Michigan,1000000,State of Michigan Department of Attorney General,
State of Mississippi,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Mississippi,1090000,"Mississippi Department of Revenue, Mississippi State Oil & Gas Board",
State of New Mexico,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,New Mexico,1110000,New Mexico State Taxation & Revenue Department,
State of New Mexico,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,New Mexico,5170000,New Mexico State Taxation & Revenue Department,
Andrews County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,100000,"Andrews County Tax Assessor-Collector, Andrews Independent School District",
Crane County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,80000,Crane County Tax Collector,
Dawson County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,450000,Dawson County Central Appraisal District,
Glasscock County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,1340000,Glasscock County Tax Collector,
Howard County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,2390000,Howard County Tax Office,
Karnes County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,10200000,"Karnes City Independent School District, Karnes County Tax Office",
Martin County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,2590000,"Martin County Appraisal, Martin County Tax Assessor",
Midland County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,1720000,Midland Central Appraisal District,
State of Texas,Encana Corporation,Fees,01-01-2016,12-31-2016,N,,Texas,1040000,"Texas Comptroller of Public Accounts, Texas General Land Office, University Lands, Texas Commission of Environmental Quality",
State of Texas,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Texas,2030000,"Texas Comptroller of Public Accounts, Texas General Land Office, University Lands, Texas Commission of Environmental Quality",
State of Texas,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Texas,65200000,"Texas Comptroller of Public Accounts, Texas General Land Office, University Lands, Texas Commission of Environmental Quality",
Fremont County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Wyoming,3710000,Fremont County Treasurer,
Natrona County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Wyoming,340000,Natrona County Treasurer,
Shoshone and Arapaho Tribes,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,Shoshone and Arapaho Tribes,Wyoming,590000,NA,
State of Wyoming,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Wyoming,470000,"State of Wyoming, Wyoming Oil & Gas Conservation Commission, Wyoming Secretary of State, Wyoming Office of State Lands and Investments",
State of Wyoming,Encana Corporation,Royalties,01-01-2016,12-31-2016,N,,Wyoming,3970000,"State of Wyoming, Wyoming Oil & Gas Conservation Commission, Wyoming Secretary of State, Wyoming Office of State Lands and Investments",
Sublette County,Encana Corporation,Taxes,01-01-2016,12-31-2016,N,,Wyoming,9980000,Sublette County Treasurer,
Arizona Department of Environmental Quality,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Arizona,98083,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
Arizona Department of Environmental Quality,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Arizona,98083,NA,
Arizona Department of Transportation,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Arizona,7544,NA,
Arizona Department of Transportation,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Arizona,7544,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
United States Bureau of Land Management,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,762034,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
United States Bureau of Land Management,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,762034,NA,
United States Department of Labor,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,7544,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
United States Department of Labor,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,7544,NA,
United States Nuclear Regulatory Commission,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,1071374,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
United States Nuclear Regulatory Commission,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,1071374,NA,
Railroad Commission of Texas,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Texas,7544,NA,
Railroad Commission of Texas,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Texas,7544,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
Texas Commission on Environmental Quality,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Texas,67904,NA,
Texas Commission on Environmental Quality,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Texas,67904,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
Texas Department of State Health Services,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Texas,15089,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
Texas Department of State Health Services,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Texas,15089,NA,
"San Juan County, Utah",Energy Fuels Inc,Taxes,01-01-2016,12-31-2016,N,,Utah,407424,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
"San Juan County, Utah",Energy Fuels Inc,Taxes,01-01-2016,12-31-2016,N,,Utah,407424,NA,
"Utah Division of Oil, Gas and Mining",Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Utah,7544,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
"Utah Division of Oil, Gas and Mining",Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Utah,7544,NA,
Utah Division of Radiation Control,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Utah,113173,NA,
Utah Division of Radiation Control,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Utah,113173,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
Utah Trust Lands Administration,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Utah,143352,NA,
Utah Trust Lands Administration,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Utah,143352,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
"Johnson County, Wyoming",Energy Fuels Inc,Taxes,01-01-2016,12-31-2016,N,,Wyoming,1169458,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
"Johnson County, Wyoming",Energy Fuels Inc,Taxes,01-01-2016,12-31-2016,N,,Wyoming,1169458,NA,
Wyoming Department of Revenue,Energy Fuels Inc,Taxes,01-01-2016,12-31-2016,N,,Wyoming,384789,NA,
Wyoming Department of Revenue,Energy Fuels Inc,Taxes,01-01-2016,12-31-2016,N,,Wyoming,384789,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
Wyoming Office of State Lands,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Wyoming,30179,"Reported in Canadian dollars, using the average
 exchange rate during the reporting period of 2016
 of $1 USD = $1.3248 CAD.",
Wyoming Office of State Lands,Energy Fuels Inc,Fees,01-01-2016,12-31-2016,N,,Wyoming,30179,NA,
Office of Natural Resources Revenue,Enerplus Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,377244,"Collects, accounts for and verifies natural resource and energy revenues due to American tribes and the U.S. Federal Government.",
Office of Natural Resources Revenue,Enerplus Corporation,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,44137630,"Collects, accounts for and verifies natural resource and energy revenues due to American tribes and the U.S. Federal Government.",
"Richland County, Montana",Enerplus Corporation,Royalties,01-01-2016,12-31-2016,N,,Montana,128263,NA,
"Richland County, Montana",Enerplus Corporation,Taxes,01-01-2016,12-31-2016,N,,Montana,150897,NA,
State of Montana,Enerplus Corporation,Fees,01-01-2016,12-31-2016,N,,Montana,150897,NA,
State of Montana,Enerplus Corporation,Royalties,01-01-2016,12-31-2016,N,,Montana,271616,NA,
State of Montana,Enerplus Corporation,Taxes,01-01-2016,12-31-2016,N,,Montana,5047534,NA,
Fort Berthold Indian Reservation,Enerplus Corporation,Bonuses,01-01-2016,12-31-2016,N,Fort Berthold Indian Reservation,North Dakota,90538,NA,
Fort Berthold Indian Reservation,Enerplus Corporation,Fees,01-01-2016,12-31-2016,N,Fort Berthold Indian Reservation,North Dakota,4360948,NA,
State of North Dakota,Enerplus Corporation,Fees,01-01-2016,12-31-2016,N,,North Dakota,211257,NA,
State of North Dakota,Enerplus Corporation,Taxes,01-01-2016,12-31-2016,N,,North Dakota,20748459,NA,
Rio Blanco County,Enirgi Group Corporation,Taxes,01-01-2016,12-31-2016,N,,Colorado,286705,"Property taxes for the Sodium
 Bicarbonate business.",
"Office of Natural
 Resources Revenue
 (""ONRR"")",Enirgi Group Corporation,Royalties,01-01-2016,12-31-2016,Y,,District of Columbia,2120115,"Royalties paid based on total sodium
 bicarbonate sold under the Solid
 Minerals Production & Royalty
 Reporting program.",
Arizona Corporation Commission,EntrA©e Gold Inc.,Fees,01-01-2016,12-31-2016,N,,Arizona,44,Annual filing fee,
Bureau of Land Management (Nevada),EntrA©e Gold Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,231668,Nevada annual claim fees,
"Douglas County, Nevada",EntrA©e Gold Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,35616,Nevada annual claim fees,
"Lyon County, Nevada",EntrA©e Gold Inc.,Taxes,01-01-2016,12-31-2016,N,,Nevada,350,Lyon County property taxes,
"Lyon County, Nevada",EntrA©e Gold Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,9129,Nevada annual claim fees,
State of Nevada,EntrA©e Gold Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,1959,"Annual filing fee, environment permit and reclamation permit",
Bureau of Land Management (New Mexico),EntrA©e Gold Inc.,Fees,01-01-2016,12-31-2016,N,,New Mexico,40995,New Mexico annual claim fees,
Arizona Department of Revenue,Eurasian Minerals Inc.,Fees,01-01-2016,12-31-2016,N,,Arizona,49,Filing fees,
Arizona State Land Dept,Eurasian Minerals Inc.,Fees,01-01-2016,12-31-2016,N,,Arizona,22172,Sate land permit and rental fees,
Douglas County Treasurer,Eurasian Minerals Inc.,Taxes,01-01-2016,12-31-2016,N,,Colorado,4209,Property taxes,
Bureau of Land Management,Eurasian Minerals Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,387535,Filing and maintenance fees for federal claims.,
Lander County Treasurer,Eurasian Minerals Inc.,Fees,01-01-2016,12-31-2016,N,,Nevada,258,Filing fees,
County Recorder (Various),Eurasian Minerals Inc.,Fees,01-01-2016,12-31-2016,N,,,10799,County recording fees,
Secretary of State (Various),Eurasian Minerals Inc.,Fees,01-01-2016,12-31-2016,,,,1084,Filing fees,
Arizona Department of Environmental Quality,Excelsior Mining Corp,Fees,01-01-2016,12-31-2016,N,,Arizona,98083,Arizona state permitting fees,
Cochise County,Excelsior Mining Corp,Taxes,01-01-2016,12-31-2016,N,,Arizona,399879,Arizona local property taxes.,
United States Federal Government,Franco-Nevada Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,150897,42770.0,
Fairbanks North Star Borough,Freegold Ventures Limited,Taxes,01-01-2016,12-31-2016,N,,Alaska,7737,Patented mineral claim taxes,
State of Alaska,Freegold Ventures Limited,Fees,01-01-2016,12-31-2016,N,,Alaska,55908,State claims,
State of Alaska- Mental Health,Freegold Ventures Limited,Fees,01-01-2016,12-31-2016,N,,Alaska,18006,Rental payments per lease,
"Federal Bureau Land
 Management",Freegold Ventures Limited,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,14760,Federal claims,
Elko County Recorder,Gold Standard Ventures Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,15089,"Amounts are presented in Canadian dollars; However, these amounts were paid in US Dollars and translated to Canadian Dollars. For information purposes the average exchange rate of these transactions was 1.3248 which is the number of Canadian Dollars required to buy one US Dollar.",
Nevada Bureau of Land Management,Gold Standard Ventures Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,196167,"Amounts are presented in Canadian dollars; However, these amounts were paid in US Dollars and translated to Canadian Dollars. For information purposes the average exchange rate of these transactions was 1.3248 which is the number of Canadian Dollars required to buy one US Dollar.",
Nevada Division of Environment Protection,Gold Standard Ventures Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,7544,"Amounts are presented in Canadian dollars; However, these amounts were paid in US Dollars and translated to Canadian Dollars. For information purposes the average exchange rate of these transactions was 1.3248 which is the number of Canadian Dollars required to buy one US Dollar.",
Nevada Division of Minerals,Gold Standard Ventures Corp.,Fees,01-01-2016,12-31-2016,N,,Nevada,52814,"Amounts are presented in Canadian dollars; However, these amounts were paid in US Dollars and translated to Canadian Dollars. For information purposes the average exchange rate of these transactions was 1.3248 which is the number of Canadian Dollars required to buy one US Dollar.",
US Federal Government - Internal Revenue Service,Goldcorp Inc.,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,8206178,Taxes related to divestiture of Wharf mine,
US Federal Government - U.S. Department of the Interior: Bureau of Land Management,Goldcorp Inc.,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,212660,The majority of payments to this Payee (US$203K) relate to exploration concessions in the United States - Imperial Glamis,
Lawrence County - South Dakota,Goldcorp Inc.,Taxes,01-01-2016,12-31-2016,N,,South Dakota,393210,Property taxes related to divested Wharf mine,
Kern County Treasurer and Tax Collector,Golden Queen Mining Co. Ltd.,Fees,01-01-2016,12-31-2016,N,,California,672170,"Property taxes. Amounts are presented in Canadian dollars; However, these amounts were paid in US Dollars and translated to Canadian Dollars using the exchange rate prevailing at the transaction dates. For information purposes the average exchange rate of these transactions was $1.3516 which is the number of Canadian Dollars required to buy one US Dollar.",
"Alaska Department of Natural
 Resources",GoldMining Inc.,Fees,12-01-2015,11-30-2016,N,,Alaska,181077,"Alaska Annual Rental Payment and Bond Renewal
 Fee",
Internal Revenue Service,Graymont Limited,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,9053873,Income taxes,
"Broadwater County, Montana",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,Montana,460238,Property taxes,
"Montana Department of Revenue, Montana",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,Montana,90538,Income and property taxes,
"Elko County Treasurer, Nevada",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,Nevada,113173,Property taxes,
"Nevada Tax Commission, Nevada",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,Nevada,316885,Net proceeds tax and commerce tax,
"City of Plattsburgh, New York",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,New York,150897,Property taxes,
"Department of Environmental Conservatism, New York",Graymont Limited,Fees,01-01-2016,12-31-2016,N,,New York,120718,Air and mining permits,
"State College, Pennsylvania",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,Pennsylvania,324430,Property taxes,
"Millard County Treasurer, Utah",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,Utah,2097480,Property taxes,
"Trust Lands Administration, Utah",Graymont Limited,Royalties,01-01-2016,12-31-2016,N,,Utah,377244,Royalties paid,
"Utah State Tax Commission, Utah",Graymont Limited,Taxes,01-01-2016,12-31-2016,N,,Utah,264071,Income taxes,
National Government of United States of America,Hudbay Minerals Inc.,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,160000,NA,
"New Mexico State Land Office -
 Commissioner of Public Lands",IC Potash Corp.,Royalties,01-01-2016,12-31-2016,N,,New Mexico,305332,NA,
Bureau of Land (BLM),Imperial Metals Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,113173,Annual Unpatented Lode Mining Claims (Note 2),
NYE County,Imperial Metals Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,120718,Property Tax (Note 2),
Gila County Treasurer,KGHM International,Taxes,01-01-2016,12-31-2016,N,,Arizona,190000,NA,
State of Arizona- Bureau of Land Management,KGHM International,Fees,01-01-2016,12-31-2016,N,,Arizona,80000,NA,
State of Arizona-Department of Revenue,KGHM International,Taxes,01-01-2016,12-31-2016,N,,Arizona,100000,NA,
Federal Government of USA- Mine Safety and Health Administration,KGHM International,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,80000,NA,
Federal Government of USA-Bureau of Land Management,KGHM International,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,160000,NA,
State of Nevada- Division of Environmental Protection,KGHM International,Fees,01-01-2016,12-31-2016,N,,Nevada,160000,NA,
State of Nevada- Division of Water Resources,KGHM International,Fees,01-01-2016,12-31-2016,N,,Nevada,260000,NA,
White Pine County Treasurer,KGHM International,Fees,01-01-2016,12-31-2016,N,,Nevada,100000,NA,
White Pine County Treasurer,KGHM International,Taxes,01-01-2016,12-31-2016,N,,Nevada,1290000,NA,
Fairbanks North Star Borough,Kinross Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Alaska,8300000,Payments were made to Fairbanks North Star Borough.,
State of Alaska,Kinross Gold Corporation,Fees,01-01-2016,12-31-2016,N,,Alaska,490000,"Payments were made to the Alaska Department of Natural Resources, Alaska Department of Revenue, Alaska Mental Health Trust Land Authority, and the Alaska Department of Environmental Conservation.",
State of Alaska,Kinross Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Alaska,3610000,"Payments were made to the Alaska Department of Natural Resources, Alaska Department of Revenue, Alaska Mental Health Trust Land Authority, and the Alaska Department of Environmental Conservation.",
Federal Government,Kinross Gold Corporation,Fees,01-01-2016,12-31-2016,Y,,District of Columbia,2280000,"Payments were made to the Internal Revenue Service, United States Department of the Interior - Bureau of Land Management, United States Department of Agriculture - U.S. Forest Service, United States Department of Labour - Mine Safety and Health Administration, and the United States Department of Transportation.",
Federal Government,Kinross Gold Corporation,Taxes,01-01-2016,12-31-2016,Y,,District of Columbia,12400000,"Payments were made to the Internal Revenue Service, United States Department of the Interior - Bureau of Land Management, United States Department of Agriculture - U.S. Forest Service, United States Department of Labour - Mine Safety and Health Administration, and the United States Department of Transportation.",
Nye County,Kinross Gold Corporation,Taxes,01-01-2016,12-31-2016,N,,Nevada,4960000,Payments were made to the Nye County Treasurer and the Nye County Recorder's Office.,
